Match_ID,Round,Match,Team,Player,Calculated_Score,Saves,Claims,Sweeper,Goals_Prevented,Minutes
14566706,Round 2,psv-eindhoven-bayer-04-leverkusen,Bayer 04 Leverkusen,Mark Flekken,30,0,1,0,-0.1516,90
14566706,Round 2,psv-eindhoven-bayer-04-leverkusen,PSV Eindhoven,Matěj Kovář,37,3,1,1,0.6307,90
14566622,Round 2,athletic-club-borussia-dortmund,Borussia Dortmund,Gregor Kobel,27,2,0,0,0.217,90
14566622,Round 2,athletic-club-borussia-dortmund,Athletic Club,Unai Simón,14,4,1,0,-1.9257,90
14566901,Round 2,sporting-napoli,Napoli,Vanja Milinković-Savić,34,3,0,0,0.6576,90
14566901,Round 2,sporting-napoli,Sporting CP,Rui Silva,21,1,1,0,-0.9659,90
14566782,Round 2,villarreal-juventus,Villarreal,Arnau Tenas,3,2,0,0,-1.4626,90
14566782,Round 2,villarreal-juventus,Juventus,Mattia Perin,17,4,0,0,-0.1382,90
14566652,Round 3,olympiacos-fc-barcelona,Barcelona,Wojciech Szczęsny,36,1,1,0,-0.0521,90
14566652,Round 3,olympiacos-fc-barcelona,Olympiacos FC,Konstantinos Tzolakis,25,1,2,1,-1.6499,90
14566986,Round 3,pafos-fc-kairat-almaty,Kairat Almaty,Temirlan Anarbekov,42,5,0,1,2.3401,90
14566986,Round 3,pafos-fc-kairat-almaty,Pafos FC,Neofytos Michael,63,2,1,6,0.5727,90
14566718,Round 3,atletico-madrid-arsenal,Arsenal,David Raya,45,1,2,1,0.1143,90
14566718,Round 3,atletico-madrid-arsenal,Atlético Madrid,Jan Oblak,15,4,0,0,-0.9159,90
14566704,Round 3,bayer-04-leverkusen-paris-saint-germain,Bayer 04 Leverkusen,Mark Flekken,-7,1,0,0,-2.7884,90
14566704,Round 3,bayer-04-leverkusen-paris-saint-germain,Paris Saint-Germain,Lucas Chevalier,29,1,0,0,-0.6866,90
14566971,Round 3,borussia-dortmund-fc-kobenhavn,FC København,Dominik Kotarski,4,1,0,1,-2.6029,90
14566971,Round 3,borussia-dortmund-fc-kobenhavn,Borussia Dortmund,Gregor Kobel,19,3,0,0,-0.3502,90
14566956,Round 3,benfica-newcastle-united,Newcastle United,Nick Pope,17,2,1,0,0.1974,90
14566956,Round 3,benfica-newcastle-united,Benfica,Anatoliy Trubin,26,7,1,0,0.1642,90
14566893,Round 3,psv-eindhoven-napoli,PSV Eindhoven,Matěj Kovář,8,0,0,1,-0.7399,90
14566893,Round 3,psv-eindhoven-napoli,Napoli,Vanja Milinković-Savić,2,3,1,1,-2.982,90
14566949,Round 3,royale-union-saint-gilloise-inter,Royale Union Saint-Gilloise,Kjell Scherpen,15,3,0,0,-1.402,90
14566949,Round 3,royale-union-saint-gilloise-inter,Inter,Yann Sommer,35,5,0,0,1.6063,90
14566781,Round 3,villarreal-manchester-city,Villarreal,Luiz Júnior,54,5,3,2,0.5795,90
14566781,Round 3,villarreal-manchester-city,Manchester City,Gianluigi Donnarumma,30,2,0,0,0.4352,90
14566911,Round 3,qarabag-athletic-club,Athletic Club,Unai Simón,44,2,1,5,-0.4402,90
14566911,Round 3,qarabag-athletic-club,Qarabağ FK,Mateusz Kochalski,12,2,0,1,-1.4038,90
14566936,Round 3,galatasaray-bodoglimt,Galatasaray,Uğurcan Çakır,39,1,1,0,0.1975,90
14566936,Round 3,galatasaray-bodoglimt,Bodø/Glimt,Nikita Haikin,36,8,2,0,1.2326,90
14566927,Round 3,as-monaco-tottenham-hotspur,AS Monaco,Philipp Köhn,40,2,3,0,0.5277,90
14566927,Round 3,as-monaco-tottenham-hotspur,Tottenham Hotspur,Guglielmo Vicario,51,8,1,1,2.6824,90
14566728,Round 3,atalanta-sk-slavia-praha,Atalanta,Marco Carnesecchi,42,4,1,0,0.7578,90
14566728,Round 3,atalanta-sk-slavia-praha,SK Slavia Praha,Jakub Markovič,45,5,1,0,2.4567,90
14566582,Round 3,afc-ajax-chelsea,Chelsea,Filip Jørgensen,35,0,0,2,-0.342,90
14566582,Round 3,afc-ajax-chelsea,AFC Ajax,Remko Pasveer,15,5,0,1,-1.6185,90
14566754,Round 3,eintracht-frankfurt-liverpool,Eintracht Frankfurt,Michael Zetterer,-6,9,0,0,-1.3965,90
14566754,Round 3,eintracht-frankfurt-liverpool,Liverpool,Giorgi Mamardashvili,19,0,0,0,-0.6261,90
14566571,Round 3,club-brugge-kv-fc-bayern-munchen,FC Bayern München,Manuel Neuer,50,2,0,4,0.2029,90
14566571,Round 3,club-brugge-kv-fc-bayern-munchen,Club Brugge KV,Nordin Jackers,35,7,4,0,-1.3784,90
14566596,Round 3,real-madrid-juventus,Real Madrid,Thibaut Courtois,44,4,2,0,0.285,90
14566596,Round 3,real-madrid-juventus,Juventus,Michele Di Gregorio,33,8,0,0,1.3246,90
